# time,x,y,error
1.662390743664000000e+12,4.001039526555889847e-02,1.744569100139340190e+00,3.346220437603093956e+01
1.662390744224000000e+12,-4.964533972437528142e-01,1.554942938385057261e+00,3.341355656308565614e+01
1.662390744814000000e+12,-1.045554549993271021e+00,1.303705765218415191e+00,3.339030820456255810e+01
1.662390745344000000e+12,-1.617607499863870979e+00,1.096734030527843240e+00,3.339072235257576438e+01
1.662390745924000000e+12,-2.178160098668638245e+00,7.987747431869515191e-01,3.339278167186251522e+01
1.662390746484000000e+12,-2.686350131901206417e+00,5.608903114456732508e-01,nan
1.662390747024000000e+12,-3.216541544326134705e+00,3.055732778361738289e-01,3.329357143913556882e+01
1.662390747554000000e+12,-3.795759860289072307e+00,7.832090847679051837e-02,3.331593307941319182e+01
1.662390748154000000e+12,-4.396191721014348630e+00,-1.938948532809375569e-01,3.335854828590156274e+01
1.662390748704000000e+12,-4.751037629136332541e+00,-2.569874142213574020e-01,3.308852842980540032e+01
1.662390749254000000e+12,1.906327433195634669e+01,1.859397007158616688e+01,2.559029094271234595e+00
1.662390749814000000e+12,1.874676867702816807e+01,1.854195808621872033e+01,2.152273003589639355e+00
1.662390750344000000e+12,1.816318211254135306e+01,1.827128203986893951e+01,2.088719152367947807e+00
1.662390750894000000e+12,1.753279231551566042e+01,1.801626901289291283e+01,2.083351316533384789e+00
1.662390751474000000e+12,1.693656059152254301e+01,1.773164475270523255e+01,2.050644965105643092e+00
1.662390752014000000e+12,1.640071274309495664e+01,1.750191032806000280e+01,nan
1.662390752574000000e+12,1.584069921449508200e+01,1.723467053332579368e+01,2.086601814854649461e+00
1.662390753134000000e+12,1.525653051700499141e+01,1.699578577174354521e+01,2.167254776606428290e+00
1.662390753704000000e+12,1.470149964378566487e+01,1.673724924786746016e+01,2.328678288508238214e+00
1.662390754274000000e+12,1.414694369089561832e+01,1.650912517690598236e+01,2.430160441396640447e+00
1.662390754864000000e+12,1.357976602461904214e+01,1.621897510511898943e+01,2.674389414352385863e+00
1.662390755454000000e+12,1.293474451213799270e+01,1.623316786039079318e+01,2.701453390507473351e+00
1.662390756034000000e+12,1.247662528060653386e+01,1.661019625643093889e+01,2.777886689327205172e+00
1.662390756614000000e+12,1.219414413921280449e+01,1.714983562018073826e+01,2.839230217587144001e+00
1.662390757194000000e+12,1.193254298785423728e+01,1.773750116152361400e+01,3.082085860240741049e+00
1.662390757774000000e+12,1.175909681670647089e+01,1.836791139587967336e+01,3.247485022767270912e+00
1.662390758374000000e+12,1.156803802999949227e+01,1.896638566093681177e+01,3.576304765559777721e+00
1.662390758914000000e+12,1.170454513326100887e+01,1.965775563033906082e+01,3.527919938758270924e+00
1.662390759494000000e+12,1.625385051375991097e+01,2.375932695995027544e+01,2.205328030197017064e+00
1.662390760064000000e+12,1.678356267618734421e+01,2.414070963642859979e+01,2.195137754323782442e+00
1.662390760654000000e+12,1.727452796378973332e+01,2.447733181570239935e+01,nan
1.662390761164000000e+12,1.777030776176463078e+01,2.472373261345849116e+01,nan
1.662390761764000000e+12,1.829334809378186222e+01,2.499070974277570656e+01,1.900539491462873709e+00
1.662390762334000000e+12,1.885746396152595494e+01,2.521279124524991389e+01,1.880390598559244841e+00
1.662390762834000000e+12,1.941232910179148163e+01,2.546726228223887034e+01,2.043331047537253031e+00
1.662390763424000000e+12,2.000207047707526442e+01,2.571107165770329672e+01,2.146752072814692713e+00
1.662390763964000000e+12,2.059047102546923469e+01,2.599141122176301977e+01,2.416467249164119480e+00
1.662390764524000000e+12,2.121065732141267546e+01,2.628244448382196197e+01,nan
1.662390765074000000e+12,2.175294811726021393e+01,2.663138558016634860e+01,3.031875136433947127e+00
1.662390765614000000e+12,2.234118153426749842e+01,2.694303493800520499e+01,nan
1.662390766154000000e+12,2.295725218983996641e+01,2.727209089990330781e+01,3.658998234709192943e+00
1.662390766684000000e+12,2.360991645831499142e+01,2.755561449243969463e+01,3.920033592425127278e+00
1.662390767204000000e+12,2.425305313967271204e+01,2.789483262680533571e+01,nan
1.662390767764000000e+12,2.486442852342186427e+01,2.816534385062648838e+01,nan
1.662390768334000000e+12,2.542158274452362221e+01,2.846208055889528765e+01,4.980004669819255270e+00
1.662390768884000000e+12,2.605368809427997334e+01,2.870631064305509383e+01,nan
1.662390769444000000e+12,3.011348912673756928e+01,2.343537192754973475e+01,nan
1.662390769994000000e+12,3.072949944932804556e+01,2.363956955504249891e+01,nan
1.662390770574000000e+12,3.129181533523487602e+01,2.389760956101993372e+01,2.560433734805227513e+00
1.662390771134000000e+12,3.195566849078291938e+01,2.383714861201683277e+01,2.582150748785552175e+00
1.662390771654000000e+12,3.259002512997835055e+01,2.350009096634896011e+01,2.786350646841624368e+00
1.662390772244000000e+12,3.297369992099920921e+01,2.292643737573605733e+01,2.711869286644859045e+00
1.662390772834000000e+12,3.331600821769814758e+01,2.240685343144120623e+01,2.866863601316222088e+00
1.662390773404000000e+12,3.349213879343285782e+01,2.183830517858801912e+01,2.930073487932238319e+00
1.662390774024000000e+12,3.344189687680864154e+01,2.121764333111451251e+01,3.088234166433160954e+00
1.662390774594000000e+12,3.306345449527427860e+01,2.073181243851914601e+01,3.058360899854058346e+00
1.662390775194000000e+12,3.260328394738588997e+01,2.030184878437671259e+01,3.174436817234291830e+00
1.662390775734000000e+12,3.204152703876323471e+01,1.998725769586135925e+01,nan
1.662390776324000000e+12,3.151336317816195631e+01,1.967733668203716846e+01,3.408007784981917698e+00
1.662390776884000000e+12,3.096423803771830308e+01,1.944510280630908738e+01,nan
1.662390777454000000e+12,3.037806889567027113e+01,1.918004391474838499e+01,nan
1.662390777994000000e+12,2.973907519151839551e+01,1.894364487587748158e+01,nan
1.662390778534000000e+12,2.902642002723230519e+01,1.867936530236313075e+01,3.923272210949059868e+00
1.662390779084000000e+12,2.168428458026176386e+01,1.911182288927287942e+01,2.681167341410709781e+00
1.662390779654000000e+12,2.102021048700610706e+01,1.883710352911401742e+01,nan
1.662390780204000000e+12,2.041335444501491025e+01,1.858050156077192838e+01,nan
1.662390780744000000e+12,1.979900886722558084e+01,1.828699738101670391e+01,2.367411423899991707e+00
1.662390781294000000e+12,1.913244157818263957e+01,1.803269732933514291e+01,2.351020279615168462e+00
1.662390781834000000e+12,1.850115762539979869e+01,1.776390240767010553e+01,2.380118970051583904e+00
1.662390782384000000e+12,1.787798990827857892e+01,1.755940273835160426e+01,2.361817357944070661e+00
1.662390782944000000e+12,1.728665163832244289e+01,1.732320350533743536e+01,2.381007532599602516e+00
1.662390783494000000e+12,1.667978177039987386e+01,1.712994306215567875e+01,2.412756385555310246e+00
1.662390784074000000e+12,1.606729315863391250e+01,1.687547706021679517e+01,2.535370764560542334e+00
1.662390784594000000e+12,1.547381747846347011e+01,1.665977906935328079e+01,2.637265605803127411e+00
1.662390785164000000e+12,1.482538417267778819e+01,1.637302567039512979e+01,nan
1.662390785714000000e+12,1.419346089829883084e+01,1.609578088646179239e+01,nan
1.662390786304000000e+12,1.384869565599427510e+01,1.554200997430512921e+01,3.403146975630625626e+00
1.662390786904000000e+12,1.381883687392889293e+01,1.497189374791006422e+01,nan
1.662390787544000000e+12,1.402161814396213657e+01,1.446747813473357169e+01,nan
1.662390788104000000e+12,1.423722453841511282e+01,1.393092724422790951e+01,3.026641524862542454e+00
1.662390788664000000e+12,1.459859652070245062e+01,1.341897880433951862e+01,2.867246978002389923e+00
1.662390789214000000e+12,1.648711200817271560e+01,1.360639089397109736e+01,3.001643468255350999e+00
1.662390789764000000e+12,1.702426374197742831e+01,1.328403192164855362e+01,3.072449142033764513e+00
1.662390790374000000e+12,1.760057164554484288e+01,1.307613888593329854e+01,nan
1.662390790954000000e+12,1.822936778075258601e+01,1.302012265819109871e+01,2.809000166495542405e+00
1.662390791494000000e+12,1.887216634061130094e+01,1.296590227958389363e+01,2.736168427015050142e+00
1.662390792054000000e+12,1.954705057551676006e+01,1.304556138269946430e+01,nan
1.662390792584000000e+12,2.018288397721807925e+01,1.311009330419675578e+01,2.530041113905963535e+00
1.662390793124000000e+12,2.080840589776761007e+01,1.323062163455599638e+01,nan
1.662390793664000000e+12,2.145496367347782751e+01,1.330784271224178461e+01,2.358428022429844173e+00
1.662390794214000000e+12,2.210506857241241008e+01,1.344385317592245777e+01,2.281890105373155730e+00
1.662390794774000000e+12,2.273242621600381597e+01,1.352335288520850298e+01,2.152990310319557565e+00
1.662390795324000000e+12,2.341209838668833143e+01,1.366817614107728573e+01,2.120760299865196430e+00
1.662390795914000000e+12,2.411754331253703043e+01,1.380790703641783068e+01,2.077996077425714461e+00
1.662390796514000000e+12,2.486386115745746039e+01,1.402630292718980165e+01,2.115604173576596025e+00
1.662390797114000000e+12,2.565074124585721194e+01,1.415350741504626164e+01,2.150997019142009581e+00
1.662390797674000000e+12,2.630088312554300245e+01,1.433161806201043298e+01,nan
1.662390798204000000e+12,2.701448042261074889e+01,1.445666551464656102e+01,2.168079376195720442e+00
1.662390798754000000e+12,2.773623978103521992e+01,1.459392688890598144e+01,2.254874138232461078e+00
1.662390799284000000e+12,3.047509694925241419e+01,1.300065314376309722e+01,3.447947702153045135e+00
1.662390799854000000e+12,3.114970243340407663e+01,1.308562110240336906e+01,3.331356574084077149e+00
1.662390800394000000e+12,3.183048182394284353e+01,1.315994624463758100e+01,nan
1.662390800974000000e+12,3.245556663089161020e+01,1.341911298907076677e+01,nan
1.662390801544000000e+12,3.291181278155815448e+01,1.386607654118163957e+01,3.056860235796027059e+00
1.662390802134000000e+12,3.297586813103733050e+01,1.443466595216100323e+01,2.627695714220698253e+00
1.662390802694000000e+12,3.298818031183274968e+01,1.500622647889710848e+01,nan
1.662390803254000000e+12,3.289027773280434275e+01,1.561139711674031894e+01,2.173916657983351541e+00
1.662390803774000000e+12,3.277369373891932725e+01,1.628217438398048600e+01,2.066852275739150091e+00
1.662390804344000000e+12,3.260807590718660975e+01,1.695566977080646254e+01,1.822048216373058249e+00
1.662390804874000000e+12,3.251744332568255658e+01,1.758248583784872920e+01,1.755088215851339895e+00
1.662390805444000000e+12,3.236645477588250941e+01,1.820123670016592499e+01,1.561594530338584974e+00
1.662390805994000000e+12,3.229049204000613571e+01,1.884053188184375216e+01,1.520052681035025666e+00
1.662390806534000000e+12,3.215181182486573164e+01,1.950896788401401949e+01,1.317750884914125953e+00
1.662390807084000000e+12,3.206939781224409103e+01,2.017110909305437261e+01,1.254464249080829763e+00
1.662390807654000000e+12,3.197197686069233669e+01,2.083264042368497826e+01,nan
1.662390808214000000e+12,3.186638492098694542e+01,2.149481545824437490e+01,1.064295550175945682e+00
1.662390808784000000e+12,3.156814732551654501e+01,2.209666503481975397e+01,8.383680754547354619e-01
1.662390809364000000e+12,2.923660360075439613e+01,2.421722310871997408e+01,1.752139978061629577e+00
1.662390809964000000e+12,2.865248514987556305e+01,2.444028272418461611e+01,1.682780343089457231e+00
1.662390810514000000e+12,2.809752262381332599e+01,2.455920846501347654e+01,1.588911370844856119e+00
1.662390811114000000e+12,2.749518436004695943e+01,2.456473002883038248e+01,1.362075991218410387e+00
1.662390811644000000e+12,2.683427603315161392e+01,2.458001920789304506e+01,1.319568258629083557e+00
1.662390812234000000e+12,2.615417925833717661e+01,2.454327581294425542e+01,1.142410018533472904e+00
1.662390812764000000e+12,2.549566424606146953e+01,2.455976021010741661e+01,1.071891539888603750e+00
1.662390813314000000e+12,2.482127430910549037e+01,2.448342146609602921e+01,nan
1.662390813854000000e+12,2.414586595079791564e+01,2.446334045864998430e+01,8.664008563131849749e-01
1.662390814404000000e+12,2.348876012280269165e+01,2.441960999596771842e+01,7.006532625151984384e-01
1.662390814944000000e+12,2.281117302347173492e+01,2.439501811336424097e+01,6.576273440768335421e-01
1.662390815484000000e+12,2.211877278071642650e+01,2.431094753026106048e+01,5.453278203973719318e-01
1.662390816034000000e+12,2.143647887965273569e+01,2.426987938050765692e+01,nan
1.662390816584000000e+12,2.077004902222659766e+01,2.419131017520033211e+01,3.135257855324427023e-01
1.662390817124000000e+12,2.004732541282777092e+01,2.420843349874081341e+01,3.070228219398341563e-01
1.662390817684000000e+12,1.925776482445352400e+01,2.417793004157542569e+01,2.653564993056760080e-01
1.662390818224000000e+12,1.853167123856604803e+01,2.417919778701379130e+01,nan
1.662390818794000000e+12,1.782713258119707689e+01,2.413261123198115499e+01,1.657189360973549686e-01
1.662390819344000000e+12,1.496962653293695666e+01,2.401994354111649699e+01,2.281270060018236734e+00
1.662390819914000000e+12,1.425834472575646217e+01,2.397399694035083684e+01,2.229629898317587955e+00
1.662390820444000000e+12,1.357708488044837125e+01,2.400819023521206219e+01,2.195686354256885853e+00
1.662390821024000000e+12,1.294079951192358102e+01,2.394852293012203859e+01,2.074132512679031315e+00
1.662390821584000000e+12,1.236997010486430248e+01,2.369467715117498585e+01,nan
1.662390822144000000e+12,1.204501138627473900e+01,2.313756363918604109e+01,1.774541732282790329e+00
1.662390822724000000e+12,1.180988564975849897e+01,2.249970714744844713e+01,1.727169558956252349e+00
1.662390823294000000e+12,1.169691089360247638e+01,2.181074454556195974e+01,1.616953579446948952e+00
1.662390823864000000e+12,1.162579584654067588e+01,2.112922565510398698e+01,nan
1.662390824434000000e+12,1.163773493810146320e+01,2.046519880055598151e+01,1.570918723327812794e+00
1.662390824984000000e+12,1.155818805707710517e+01,1.977003299278269566e+01,1.708819112068326040e+00
1.662390825564000000e+12,1.157166104350987368e+01,1.906106137126599975e+01,nan
1.662390826084000000e+12,1.155299709736986102e+01,1.836131995749956758e+01,1.711700014446235762e+00
1.662390826664000000e+12,1.158577269159461487e+01,1.768090922091728956e+01,nan
1.662390827204000000e+12,1.164408082753196005e+01,1.701002879328101614e+01,nan
1.662390827794000000e+12,1.170448887342869071e+01,1.630053815084757218e+01,1.602022683306214113e+00
1.662390828344000000e+12,1.176549993559008200e+01,1.558738584104585279e+01,1.693017335763000064e+00
1.662390828914000000e+12,1.219032457412713377e+01,1.503132816831985608e+01,1.436874456741482398e+00
1.662390829474000000e+12,1.655537163911472476e+01,1.342630858374988101e+01,2.717193986778370540e+00
1.662390830124000000e+12,1.714304706567395797e+01,1.315655651280884086e+01,nan
1.662390830634000000e+12,1.774829400743142926e+01,1.289228941393380090e+01,2.589841573520026419e+00
1.662390831224000000e+12,1.842178469790867723e+01,1.276146091125198190e+01,2.501555367319252099e+00
1.662390831754000000e+12,1.906417143025519678e+01,1.259259709977617447e+01,2.471360617101026946e+00
1.662390832294000000e+12,1.975762709769494663e+01,1.249503202666741331e+01,nan
1.662390832834000000e+12,2.044862964090642166e+01,1.237523000168327414e+01,2.390231117792237292e+00
1.662390833404000000e+12,2.111768147944287577e+01,1.229534741335482373e+01,2.250169341668009970e+00
