# time,x,y,z,error
1.662390743664000000e+12,2.988684375000000060e+01,1.844347069999999889e+01,1.360000000000000098e+00,9.211605623233988238e-01
1.662390744224000000e+12,2.945493716434500087e+01,1.829992046151168594e+01,1.360000000000000098e+00,1.189057861475058875e+00
1.662390744814000000e+12,2.894909784262443964e+01,1.817540234172845004e+01,1.360000000000000098e+00,1.487550007225343141e+00
1.662390745344000000e+12,2.735485029057909045e+01,1.894857873755838540e+01,1.360000000000000098e+00,6.405693666782503737e-01
1.662390745924000000e+12,2.651902920690825383e+01,1.881338128313414515e+01,1.360000000000000098e+00,5.036781051967779144e-01
1.662390746484000000e+12,2.618148152022430963e+01,1.866371327414234216e+01,1.360000000000000098e+00,8.720192669410802289e-01
1.662390747024000000e+12,2.558736373664335062e+01,1.860380252975995674e+01,1.360000000000000098e+00,1.021313309879013476e+00
1.662390747554000000e+12,2.449474766696524952e+01,1.950820186866928552e+01,1.360000000000000098e+00,1.068170939616587711e+00
1.662390748154000000e+12,2.391254561964035474e+01,1.917383166930109084e+01,1.360000000000000098e+00,9.483224920416599701e-01
1.662390748704000000e+12,2.329814596505857338e+01,1.894915390815581446e+01,1.360000000000000098e+00,9.712668165606042070e-01
1.662390749254000000e+12,2.181911240437769450e+01,1.929999408798360605e+01,1.360000000000000098e+00,5.561456383580308804e-01
1.662390749814000000e+12,2.123884182970709134e+01,1.907183282451413930e+01,1.360000000000000098e+00,4.706229030959497850e-01
1.662390750344000000e+12,2.068389426975172540e+01,1.884700136066793519e+01,1.360000000000000098e+00,5.035131886075790986e-01
1.662390750894000000e+12,2.011555494498501062e+01,1.865619821522391319e+01,1.360000000000000098e+00,6.325572226451564584e-01
1.662390751474000000e+12,1.952903614889246242e+01,1.926073100640989466e+01,1.360000000000000098e+00,9.606462809103601952e-01
1.662390752014000000e+12,1.900451504886709486e+01,1.903563527554229040e+01,1.360000000000000098e+00,1.039275651580149118e+00
1.662390752574000000e+12,1.844552634467189733e+01,1.879052438373641110e+01,1.360000000000000098e+00,1.172010008966999139e+00
1.662390753134000000e+12,1.653270784125946591e+01,1.927534041665914444e+01,1.360000000000000098e+00,5.431721937890081620e-01
1.662390753704000000e+12,1.597280489466819375e+01,1.903198013202105088e+01,1.360000000000000098e+00,2.978768505683738188e-01
1.662390754274000000e+12,1.541164665034007619e+01,1.883343291954333054e+01,1.360000000000000098e+00,3.340268802318040464e-01
1.662390754864000000e+12,1.479058988208758763e+01,1.860763402825460133e+01,1.360000000000000098e+00,4.560797591295702169e-01
1.662390755454000000e+12,1.473528118769780626e+01,2.068309155521123799e+01,1.360000000000000098e+00,2.120353154544390772e+00
1.662390756034000000e+12,1.423651207606702052e+01,2.116656191276017296e+01,1.360000000000000098e+00,2.106867651952212039e+00
1.662390756614000000e+12,1.398799525804907873e+01,2.171871892942255045e+01,1.360000000000000098e+00,2.069199812453149434e+00
1.662390757194000000e+12,1.539148063775726705e+01,2.353040787726263261e+01,1.360000000000000098e+00,3.685349291175845199e+00
1.662390757774000000e+12,1.521702905755391022e+01,2.408158692999176864e+01,1.360000000000000098e+00,3.434518979620246437e+00
1.662390758374000000e+12,1.499001549970840763e+01,2.441265811171288291e+01,1.360000000000000098e+00,2.857623743868173971e+00
1.662390758914000000e+12,1.504772077144982667e+01,2.445082600696921915e+01,1.360000000000000098e+00,2.316887370439365768e+00
1.662390759494000000e+12,1.762434260969797961e+01,2.336289268379621120e+01,1.360000000000000098e+00,3.476587515655425342e+00
1.662390760064000000e+12,1.805439763611027004e+01,2.344377200658416172e+01,1.360000000000000098e+00,3.352789439362546808e+00
1.662390760654000000e+12,1.855790141481727673e+01,2.371888660374368385e+01,1.360000000000000098e+00,3.175713047848327975e+00
1.662390761164000000e+12,2.056518093650737811e+01,2.296923535890479684e+01,1.360000000000000098e+00,4.637881752117839262e+00
1.662390761764000000e+12,2.109465422611359031e+01,2.325493883971379105e+01,1.360000000000000098e+00,4.289016015615197297e+00
1.662390762334000000e+12,2.166070191409424694e+01,2.347844817331828793e+01,1.360000000000000098e+00,4.109519346581162580e+00
1.662390762834000000e+12,2.221687741440399932e+01,2.365166889617361434e+01,1.360000000000000098e+00,3.981805732997368619e+00
1.662390763424000000e+12,2.345162499949517354e+01,2.274996671437973461e+01,1.360000000000000098e+00,4.552181408961955000e+00
1.662390763964000000e+12,2.403734636493755161e+01,2.301901788720862285e+01,1.360000000000000098e+00,4.305212713599003926e+00
1.662390764524000000e+12,2.464368047429791986e+01,2.329880644121034905e+01,1.360000000000000098e+00,4.116173353555824477e+00
1.662390765074000000e+12,2.520387411070712957e+01,2.357427964897809503e+01,1.360000000000000098e+00,3.885853666100639536e+00
1.662390765614000000e+12,2.586234720707114931e+01,2.293853326700412509e+01,1.360000000000000098e+00,3.866935969705707521e+00
1.662390766154000000e+12,2.651141673733150483e+01,2.327187658761465627e+01,1.360000000000000098e+00,3.695723027864049826e+00
1.662390766684000000e+12,2.718402318144207896e+01,2.353247868108947927e+01,1.360000000000000098e+00,3.629031639961170619e+00
1.662390767204000000e+12,2.876381034600185416e+01,2.288343142154700871e+01,1.360000000000000098e+00,4.569104367322661453e+00
1.662390767764000000e+12,2.938189250956692078e+01,2.314336078699055221e+01,1.360000000000000098e+00,4.364081637197107177e+00
1.662390768334000000e+12,2.996686213400878884e+01,2.336631125606393411e+01,1.360000000000000098e+00,4.131204983710645706e+00
1.662390768884000000e+12,3.058947945275273739e+01,2.352193379616889146e+01,1.360000000000000098e+00,4.020528766424625644e+00
1.662390769444000000e+12,3.146671060389939711e+01,2.246157093073176725e+01,1.360000000000000098e+00,4.290469641049151406e+00
1.662390769994000000e+12,3.195095750929822742e+01,2.267056617258386808e+01,1.360000000000000098e+00,4.030069170602496698e+00
1.662390770574000000e+12,3.232738606149010963e+01,2.294416295908382608e+01,1.360000000000000098e+00,3.595384933175441056e+00
1.662390771134000000e+12,3.267712696600151645e+01,2.283329771189427149e+01,1.360000000000000098e+00,3.285303048268080506e+00
1.662390771654000000e+12,3.179161019826021217e+01,2.028431906002602858e+01,1.360000000000000098e+00,3.273279700383573854e+00
1.662390772244000000e+12,3.218381814144552067e+01,1.978491838115267143e+01,1.360000000000000098e+00,3.213573575391948989e+00
1.662390772834000000e+12,3.245912421614107046e+01,1.924015468268272855e+01,1.360000000000000098e+00,3.121423937536291771e+00
1.662390773404000000e+12,3.065309661068333469e+01,1.847594797847097325e+01,1.360000000000000098e+00,2.563935658459643108e+00
1.662390774024000000e+12,3.061389703736432466e+01,1.786505259033811654e+01,1.360000000000000098e+00,2.551764620314901144e+00
1.662390774594000000e+12,3.031750550842971847e+01,1.736908315786690338e+01,1.360000000000000098e+00,2.519078616702994822e+00
1.662390775194000000e+12,2.991416413159138443e+01,1.691650109877674169e+01,1.360000000000000098e+00,2.650025101720550502e+00
1.662390775734000000e+12,2.855821643087257300e+01,1.838238161170163920e+01,1.360000000000000098e+00,9.539291084000980359e-01
1.662390776324000000e+12,2.796816442162756999e+01,1.853279633162002327e+01,1.360000000000000098e+00,6.628822209206075566e-01
1.662390776884000000e+12,2.736034536476132573e+01,1.841403892594921388e+01,1.360000000000000098e+00,6.656649815051717267e-01
1.662390777454000000e+12,2.524196576169959272e+01,1.902541191434680812e+01,1.360000000000000098e+00,1.410824271792825435e+00
1.662390777994000000e+12,2.460810612775705408e+01,1.879194190119577712e+01,1.360000000000000098e+00,1.320580433338598647e+00
1.662390778534000000e+12,2.395298012563130641e+01,1.861011930373622292e+01,1.360000000000000098e+00,1.260258186872051489e+00
1.662390779084000000e+12,2.278902568737928291e+01,1.447526493635240463e+01,1.360000000000000098e+00,4.828634179047091912e+00
1.662390779654000000e+12,2.245672883446459878e+01,1.916865439673525628e+01,1.360000000000000098e+00,1.129521979947665677e+00
1.662390780204000000e+12,2.186924260074012238e+01,1.892915963777898014e+01,1.360000000000000098e+00,9.513315164758453513e-01
1.662390780744000000e+12,2.058242710569391676e+01,1.443427293117021470e+01,1.360000000000000098e+00,4.836636107646484106e+00
1.662390781294000000e+12,1.917533169669625792e+01,1.481069658632687691e+01,1.360000000000000098e+00,4.690070360358946644e+00
1.662390781834000000e+12,1.853537336735052321e+01,1.451796467523936762e+01,1.360000000000000098e+00,4.934997300095087525e+00
1.662390782384000000e+12,1.789596754681103974e+01,1.428096812685677897e+01,1.360000000000000098e+00,5.062050208452217426e+00
1.662390782944000000e+12,1.731324797655127767e+01,1.406182463980555575e+01,1.360000000000000098e+00,5.213872735104733813e+00
1.662390783494000000e+12,1.640244919322647021e+01,1.484138188302579131e+01,1.360000000000000098e+00,4.516007210162051422e+00
1.662390784074000000e+12,1.576731883744011498e+01,1.457697604262688706e+01,1.360000000000000098e+00,4.729816267587075629e+00
1.662390784594000000e+12,1.517092741717103799e+01,1.435411829077219892e+01,1.360000000000000098e+00,4.872562884179004072e+00
1.662390785164000000e+12,1.455779379784506844e+01,1.407334238155212347e+01,1.360000000000000098e+00,5.175711876474320405e+00
1.662390785714000000e+12,1.467613265705140257e+01,1.349448753679817870e+01,1.360000000000000098e+00,5.502230168564782531e+00
1.662390786304000000e+12,1.429114993962323155e+01,1.288457369961096433e+01,1.360000000000000098e+00,5.977373203481898933e+00
1.662390786904000000e+12,1.428089382191660661e+01,1.232620360127005021e+01,1.360000000000000098e+00,6.034713366917779709e+00
1.662390787544000000e+12,1.548804099034620130e+01,1.084586124503073457e+01,1.360000000000000098e+00,6.946108384149556336e+00
1.662390788104000000e+12,1.574263959593269924e+01,1.037074848114377090e+01,1.360000000000000098e+00,6.784521525999897662e+00
1.662390788664000000e+12,1.613551535522915259e+01,1.002471015636494656e+01,1.360000000000000098e+00,6.542405817877628316e+00
1.662390789214000000e+12,1.664093249774819228e+01,9.593552966795472869e+00,1.360000000000000098e+00,6.459684606226125503e+00
1.662390789764000000e+12,1.707051359300938387e+01,9.573383319056967267e+00,1.360000000000000098e+00,5.982894800191695950e+00
1.662390790374000000e+12,1.767262280323883417e+01,9.416958915385073681e+00,1.360000000000000098e+00,5.692595671486255782e+00
1.662390790954000000e+12,1.831604871341931684e+01,9.162653030032688051e+00,1.360000000000000098e+00,5.517608307716303173e+00
1.662390791494000000e+12,2.023015733039216713e+01,9.245823786073772865e+00,1.360000000000000098e+00,5.973604085772405980e+00
1.662390792054000000e+12,2.091808866209902362e+01,9.386141593258663818e+00,1.360000000000000098e+00,5.639618061384449987e+00
1.662390792584000000e+12,2.163176282617156332e+01,9.221838523437567048e+00,1.360000000000000098e+00,5.659612827855053929e+00
1.662390793124000000e+12,2.197562880884242631e+01,9.232329712221119422e+00,1.360000000000000098e+00,5.262762256629597069e+00
1.662390793664000000e+12,2.311441134372548944e+01,9.292681073442043527e+00,1.360000000000000098e+00,5.462327299148667770e+00
1.662390794214000000e+12,2.382209986552603809e+01,9.425934959095807031e+00,1.360000000000000098e+00,5.247503403536654787e+00
1.662390794774000000e+12,2.449148550364436616e+01,9.519925294226490919e+00,1.360000000000000098e+00,5.080885852703366901e+00
1.662390795324000000e+12,2.543435252367007493e+01,9.202131309556989436e+00,1.360000000000000098e+00,5.338761215976884245e+00
1.662390795914000000e+12,2.613510155089094411e+01,9.348463282695886889e+00,1.360000000000000098e+00,5.181382049584591698e+00
1.662390796514000000e+12,2.686360344521440879e+01,9.585574302728698370e+00,1.360000000000000098e+00,4.880208442247394807e+00
1.662390797114000000e+12,2.763926186342740010e+01,9.725557377154933292e+00,1.360000000000000098e+00,4.790237381721730081e+00
1.662390797674000000e+12,2.869342905368296215e+01,9.355245360999115078e+00,1.360000000000000098e+00,5.220096860431840291e+00
1.662390798204000000e+12,2.916865115140373632e+01,1.066839092363576391e+01,1.360000000000000098e+00,4.275021162085190340e+00
1.662390798754000000e+12,2.985963201732644023e+01,1.082943681055157903e+01,1.360000000000000098e+00,4.113622490094579476e+00
1.662390799284000000e+12,3.052231974907243739e+01,1.091807893002156327e+01,1.360000000000000098e+00,4.038907568062335862e+00
1.662390799854000000e+12,3.132813164251874127e+01,1.052062910658967532e+01,1.360000000000000098e+00,4.223769371376555171e+00
1.662390800394000000e+12,3.181346750613675312e+01,1.062983461159330645e+01,1.360000000000000098e+00,3.989458082086083657e+00
1.662390800974000000e+12,3.213324466349923370e+01,1.086457482636574312e+01,1.360000000000000098e+00,3.500680081595215487e+00
1.662390801544000000e+12,3.122008550181764974e+01,1.334029807591239702e+01,1.360000000000000098e+00,1.296269042258200832e+00
1.662390802134000000e+12,3.125533391051353505e+01,1.391807534171448424e+01,1.360000000000000098e+00,8.330296496331663914e-01
1.662390802694000000e+12,3.133569569274727584e+01,1.421961811311433976e+01,1.360000000000000098e+00,6.658437980793716626e-01
1.662390803254000000e+12,3.123942899147701979e+01,1.480364229808341570e+01,1.360000000000000098e+00,4.583840793854557227e-01
1.662390803774000000e+12,3.152659785181497654e+01,1.586127337640921020e+01,1.360000000000000098e+00,7.518390987269371051e-01
1.662390804344000000e+12,3.134771876545426395e+01,1.656894756496613752e+01,1.360000000000000098e+00,5.052509334386777740e-01
